rank,entropy_bits,sequence
1,6.161315,tares
2,6.107380,lares
3,6.074999,aries
4,6.063326,teras
5,6.055872,rales
6,6.054786,nares
7,6.050013,rates
8,6.044679,saite
9,6.022095,tales
10,6.011123,saner
11,6.008650,serai
12,6.007987,salet
13,5.992613,arles
14,5.983999,tears
15,5.982682,serta
16,5.976527,tarse
17,5.968624,lanes
18,5.967109,sinae
19,5.966608,raise
20,5.962005,cares
21,5.957159,seral
22,5.947621,tarie
23,5.946882,dares
24,5.936734,solea
25,5.934763,aures
26,5.930021,reals
27,5.927855,lears
28,5.923705,tires
29,5.921727,aotes
30,5.919217,treas
31,5.916968,earls
32,5.916073,seora
33,5.915002,tores
34,5.911369,mares
35,5.908134,taise
36,5.906213,earns
37,5.904769,strae
38,5.897312,nates
39,5.895318,teals
40,5.893030,taels
41,5.886767,aloes
42,5.879558,slare
43,5.878103,pares
44,5.877430,nears
45,5.869349,taros
46,5.868811,sarin
47,5.865969,ceras
48,5.861751,lores
49,5.860680,tries
50,5.859015,toras
51,5.856157,arise
52,5.855173,rasen
53,5.850271,hares
54,5.849049,siren
55,5.848206,naris
56,5.847302,ranis
57,5.844829,aesir
58,5.840059,aeons
59,5.839853,rails
60,5.839418,laser
61,5.838083,airts
62,5.836538,snare
63,5.833270,races
64,5.831785,lairs
65,5.830030,slate
66,5.828414,leans
67,5.827445,liras
68,5.824993,senal
69,5.824378,sorel
70,5.823340,bares
71,5.822112,trias
72,5.817363,oreas
73,5.816180,salue
74,5.816097,talis
75,5.815965,rains
76,5.814269,sadie
77,5.813473,dales
78,5.812561,riles
79,5.810911,roles
80,5.810830,saute
81,5.809710,sacre
82,5.808210,canes
83,5.807928,setal
84,5.806621,resat
85,5.804775,rites
86,5.803271,siena
87,5.802862,stare
88,5.801937,tarns
89,5.801595,rotes
90,5.801140,airns
91,5.801032,tails
92,5.800116,saice
93,5.799709,neats
94,5.798183,danes
95,5.797482,antes
96,5.797293,reast
97,5.796748,aisle
98,5.795788,serio
99,5.793086,serin
100,5.787673,cates
101,5.785286,slane
102,5.783925,sanit
103,5.783433,arose
104,5.781317,tiles
105,5.780272,saron
106,5.778417,carse
107,5.778402,serau
108,5.777647,males
109,5.776091,toles
110,5.775475,elias
111,5.773668,dears
112,5.772393,taces
113,5.769210,tains
114,5.767794,arces
115,5.766891,dates
116,5.766853,arsle
117,5.766630,sotie
118,5.766080,sulea
119,5.765843,soler
120,5.764355,tones
121,5.763331,tines
122,5.761580,ratos
123,5.758199,soter
124,5.756691,rials
125,5.755736,manes
126,5.754326,stoae
127,5.753052,rapes
128,5.751645,acres
129,5.751411,taler
130,5.751374,sitar
131,5.751357,terai
132,5.750913,artie
133,5.749807,arite
134,5.747440,tames
135,5.747333,lades
136,5.747070,laces
137,5.746871,rotas
138,5.746753,soral
139,5.746646,aides
140,5.744063,saned
141,5.743681,pales
142,5.743439,liars
143,5.742752,saint
144,5.738692,serac
145,5.736112,tiers
146,5.735668,mates
147,5.735504,arils
148,5.735179,reins
149,5.734678,ariel
150,5.733353,solar
151,5.731671,slier
152,5.730143,sonar
153,5.729857,sarge
154,5.727221,scrae
155,5.725308,lames
156,5.725212,orias
157,5.725011,rants
158,5.723743,marse
159,5.722238,terns
160,5.720622,lines
161,5.720501,panes
162,5.719482,cires
163,5.719158,seron
164,5.718265,stale
165,5.717193,cores
166,5.716421,reads
167,5.715647,hales
168,5.715272,lites
169,5.715236,torse
170,5.714951,sated
171,5.714637,roans
172,5.714401,satin
173,5.713557,silen
174,5.712513,laine
175,5.711872,tolas
176,5.711345,auris
177,5.710256,least
178,5.708959,ureas
179,5.707323,solen
180,5.706815,orles
181,5.705386,senit
182,5.704991,maris
183,5.704920,claes
184,5.704100,ornes
185,5.704028,pates
186,5.700457,arest
187,5.700334,caser
188,5.699646,tinea
189,5.699158,apres
190,5.698873,nails
191,5.698816,pears
192,5.698679,terna
193,5.698285,sayer
194,5.697600,rages
195,5.696057,salem
196,5.694281,samel
197,5.693345,tesla
198,5.693331,tarsi
199,5.693141,stane
200,5.692197,retia
201,5.691683,ratel
202,5.691285,marie
203,5.691138,deals
204,5.690255,parse
205,5.689156,samen
206,5.689099,anser
207,5.688956,tapes
208,5.688010,later
209,5.687143,bales
210,5.686433,braes
211,5.685727,riels
212,5.684534,caret
213,5.684075,anise
214,5.680287,lenis
215,5.680058,sabre
216,5.679513,roues
217,5.678788,melas
218,5.677860,liers
219,5.676406,acies
220,5.675258,hates
221,5.675245,mires
222,5.673426,hears
223,5.673256,aliet
224,5.672999,stria
225,5.672472,reina
226,5.671195,litas
227,5.671035,gales
228,5.670934,reams
229,5.668760,telia
230,5.668753,mores
231,5.668619,teian
232,5.668513,senor
233,5.668476,banes
234,5.668342,rased
235,5.668144,roset
236,5.667377,paris
237,5.666548,telar
238,5.666302,seary
239,5.665303,slite
240,5.663272,saber
241,5.662801,telos
242,5.662780,alose
243,5.660242,carte
244,5.659930,deans
245,5.659669,alois
246,5.658584,names
247,5.658316,slait
248,5.658118,cries
249,5.657544,larus
250,5.657206,meals
251,5.657185,tenia
252,5.654680,satem
253,5.654543,linea
254,5.653944,sager
255,5.651507,surat
256,5.650990,sired
257,5.649363,amies
258,5.649281,aeron
259,5.649142,oater
260,5.649120,tisar
261,5.649028,lures
262,5.648610,notes
263,5.648573,nerts
264,5.647608,bates
265,5.647002,lotas
266,5.646935,irate
267,5.645794,salep
268,5.645681,repas
269,5.644767,carts
270,5.644717,maser
271,5.644494,dries
272,5.644241,tabes
273,5.643713,alces
274,5.643311,bears
275,5.643136,sedat
276,5.642866,toise
277,5.642683,salon
278,5.642545,saple
279,5.641755,mairs
280,5.641034,meats
281,5.639305,trans
282,5.638961,ursae
283,5.637845,tared
284,5.636939,sinal
285,5.636314,stire
286,5.635956,barse
287,5.635913,raids
288,5.635333,metas
289,5.635224,carle
290,5.634439,saree
291,5.633608,trues
292,5.632319,liane
293,5.631878,pores
294,5.631727,leads
295,5.631688,alien
296,5.631224,tiros
297,5.631164,rents
298,5.631032,reaps
299,5.630185,caste
300,5.629816,snore
301,5.629298,daren
302,5.629273,carne
303,5.629163,rakes
304,5.628707,astre
305,5.627723,gates
306,5.627535,years
307,5.627035,artel
308,5.626536,aster
309,5.626319,almes
310,5.626076,laius
311,5.624814,scare
312,5.624788,loans
313,5.624758,darts
314,5.624403,gears
315,5.624394,stair
316,5.623598,loris
317,5.623574,aired
318,5.623521,elans
319,5.623382,solan
320,5.623142,maire
321,5.622747,reist
322,5.621838,leora
323,5.621834,atren
324,5.621724,casel
325,5.621601,santo
326,5.621493,wares
327,5.621480,tiens
328,5.621358,laten
329,5.620569,alite
330,5.619771,means
331,5.619496,resit
332,5.619313,sarod
333,5.618909,tarin
334,5.618472,slote
335,5.618210,maros
336,5.618166,paise
337,5.618022,carls
338,5.617564,drias
339,5.617509,ireos
340,5.617087,peals
341,5.616640,helas
342,5.616601,garse
343,5.616449,baris
344,5.616189,ualis
345,5.615900,dalis
346,5.615721,cesar
347,5.615225,sline
348,5.614850,share
349,5.614168,arius
350,5.614105,ansel
351,5.613745,moras
352,5.612415,sloat
353,5.612180,stean
354,5.611809,hires
355,5.611667,iotas
356,5.611485,kales
357,5.610804,fares
358,5.609360,teams
359,5.609314,ceria
360,5.609232,ceros
361,5.608991,risen
362,5.608957,carns
363,5.608921,orals
364,5.608167,snite
365,5.607301,tarde
366,5.606930,lenos
367,5.606385,steal
368,5.606321,canis
369,5.606079,norse
370,5.605461,barie
371,5.605319,sitao
372,5.605074,serut
373,5.604875,sedan
374,5.603920,pairs
375,5.603911,rotse
376,5.602761,rinse
377,5.602035,peats
378,5.601894,serab
379,5.601557,darns
380,5.600663,slain
381,5.599801,urase
382,5.599432,craie
383,5.599360,napes
384,5.598804,roast
385,5.598043,store
386,5.597880,rules
387,5.597674,stela
388,5.597423,orate
389,5.596824,arist
390,5.596457,kanes
391,5.595556,insea
392,5.594921,tenai
393,5.594298,samir
394,5.594188,rosel
395,5.593846,sable
396,5.592831,heals
397,5.592415,loser
398,5.591864,retan
399,5.591118,acnes
400,5.590824,runes
401,5.589923,ramie
402,5.589792,peris
403,5.588542,orans
404,5.588424,trois
405,5.588361,sealy
406,5.588143,lased
407,5.587428,sepia
408,5.587381,slade
409,5.587207,caite
410,5.587173,etnas
411,5.587057,slart
412,5.584898,rides
413,5.584723,aurei
414,5.584461,senti
415,5.583994,tepas
416,5.583426,marts
417,5.582898,morae
418,5.582825,andes
419,5.582770,saker
420,5.582449,rices
421,5.582108,hairs
422,5.581537,liens
423,5.581356,alter
424,5.581247,cerat
425,5.581186,bores
426,5.580640,learn
427,5.579918,coles
428,5.579579,heats
429,5.578613,laure
430,5.578438,neral
431,5.578272,haets
432,5.578204,spaer
433,5.577917,sairy
434,5.577637,peans
435,5.576949,slone
436,5.576926,selah
437,5.576229,aline
438,5.574544,anils
439,5.574240,pries
440,5.574102,norie
441,5.572596,suite
442,5.571395,cains
443,5.570682,rheas
444,5.570211,antis
445,5.569613,retal
446,5.569586,yores
447,5.569328,spare
448,5.569084,cades
449,5.568510,orale
450,5.568080,sauce
451,5.568001,riots
452,5.567106,segar
453,5.566954,oaten
454,5.566586,doles
455,5.566446,manse
456,5.566287,talus
457,5.565818,senam
458,5.565509,parte
459,5.565467,renal
460,5.564209,caner
461,5.562797,haire
462,5.562791,sural
463,5.562290,tules
464,5.561498,tairn
465,5.561382,trios
466,5.561300,cones
467,5.560641,derat
468,5.560617,takes
469,5.560586,sarip
470,5.560168,lepas
471,5.560016,gores
472,5.559955,rimes
473,5.559825,aegis
474,5.559591,roils
475,5.559569,marls
476,5.559336,meros
477,5.559173,deair
478,5.557392,seton
479,5.557378,mails
480,5.557238,anile
481,5.557236,horas
482,5.557131,cines
483,5.556482,erian
484,5.555977,tenla
485,5.555896,baser
486,5.555863,daces
487,5.554407,cater
488,5.553324,snail
489,5.553197,malie
490,5.552956,sloan
491,5.551510,resin
492,5.551146,manis
493,5.551071,tunes
494,5.550981,laeti
495,5.550973,nemas
496,5.550671,altos
497,5.550595,parts
498,5.550563,cames
499,5.549647,astel
500,5.549570,lards
501,5.549535,leaps
502,5.549349,rason
503,5.549195,beats
504,5.548591,dines
505,5.547919,stile
506,5.547545,sorda
507,5.546671,niels
508,5.546263,noise
509,5.544618,scale
